Patient State,Patient District,Recovered Cases,Deceased Cases,Confirmed Cases,ISOCode,Zone,Type
Andaman and Nicobar Islands,,11,0,0,IN-AN,NA,Union Territory
Andaman and Nicobar Islands,North and Middle Andaman,0,0,1,IN-AN,NA,Union Territory
Andaman and Nicobar Islands,South Andaman,22,0,32,IN-AN,NA,Union Territory
Andhra Pradesh,,136,3,1,IN-AP,Southern,State
Andhra Pradesh,Anantapur,38,4,99,IN-AP,Southern,State
Andhra Pradesh,Chittoor,63,0,85,IN-AP,Southern,State
Andhra Pradesh,East Godavari,14,0,46,IN-AP,Southern,State
Andhra Pradesh,Guntur,149,8,371,IN-AP,Southern,State
Andhra Pradesh,Krishna,99,9,324,IN-AP,Southern,State
Andhra Pradesh,Kurnool,184,12,546,IN-AP,Southern,State
Andhra Pradesh,Other State,0,0,27,IN-AP,Southern,State
Andhra Pradesh,Prakasam,48,0,61,IN-AP,Southern,State
Andhra Pradesh,S.P.S. Nellore,57,3,97,IN-AP,Southern,State
Andhra Pradesh,Srikakulam,0,0,5,IN-AP,Southern,State
Andhra Pradesh,Visakhapatnam,11,1,57,IN-AP,Southern,State
Andhra Pradesh,Vizianagaram,0,0,4,IN-AP,Southern,State
Andhra Pradesh,West Godavari,24,0,68,IN-AP,Southern,State
Andhra Pradesh,Y.S.R Kadapa,0,1,21,IN-AP,Southern,State
Andhra Pradesh,Y.S.R. Kadapa,19,0,75,IN-AP,Southern,State
Arunachal Pradesh,,1,0,0,IN-AR,North-Eastern,State
Arunachal Pradesh,Lohit,0,0,1,IN-AR,North-Eastern,State
Assam,,16,0,1,IN-AS,North-Eastern,State
Assam,Bongaigaon,0,0,5,IN-AS,North-Eastern,State
Assam,Cachar,1,0,7,IN-AS,North-Eastern,State
Assam,Dhubri,5,0,4,IN-AS,North-Eastern,State
Assam,Goalpara,1,0,6,IN-AS,North-Eastern,State
Assam,Golaghat,5,0,1,IN-AS,North-Eastern,State
Assam,Hailakandi,0,1,1,IN-AS,North-Eastern,State
Assam,Jorhat,0,0,8,IN-AS,North-Eastern,State
Assam,Kamrup,0,0,1,IN-AS,North-Eastern,State
Assam,Kamrup Metropolitan,2,1,10,IN-AS,North-Eastern,State
Assam,Karimganj,1,0,1,IN-AS,North-Eastern,State
Assam,Kokrajhar,0,0,1,IN-AS,North-Eastern,State
Assam,Lakhimpur,0,0,1,IN-AS,North-Eastern,State
Assam,Morigaon,2,0,3,IN-AS,North-Eastern,State
Assam,Nalbari,1,0,3,IN-AS,North-Eastern,State
Assam,Other State,1,0,0,IN-AS,North-Eastern,State
Assam,South Salmara Mankachar,0,0,1,IN-AS,North-Eastern,State
Bihar,,16,0,0,IN-BR,Eastern,State
Bihar,Araria,0,0,2,IN-BR,Eastern,State
Bihar,Arwal,1,0,5,IN-BR,Eastern,State
Bihar,Aurangabad,6,0,14,IN-BR,Eastern,State
Bihar,Banka,0,0,3,IN-BR,Eastern,State
Bihar,Begusarai,8,0,13,IN-BR,Eastern,State
Bihar,Bhagalpur,3,0,13,IN-BR,Eastern,State
Bihar,Bhojpur,10,0,18,IN-BR,Eastern,State
Bihar,Buxar,19,0,56,IN-BR,Eastern,State
Bihar,Darbhanga,0,0,5,IN-BR,Eastern,State
