State,District,Active count,confirmed count,deceased count,recovered count,date
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-04-21
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-04-22
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-04-23
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-04-24
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-04-25
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-04-26
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-04-27
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-04-28
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-04-29
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-04-30
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-05-01
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-05-02
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-05-03
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-05-04
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-05-05
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-05-06
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-05-07
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-05-08
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,2020-05-09
Andaman and Nicobar Islands,South Andaman,5,15,0,10,2020-04-21
Andaman and Nicobar Islands,South Andaman,6,16,0,10,2020-04-22
Andaman and Nicobar Islands,South Andaman,10,20,0,10,2020-04-23
Andaman and Nicobar Islands,South Andaman,17,27,0,10,2020-04-24
Andaman and Nicobar Islands,South Andaman,22,32,0,10,2020-04-25
Andaman and Nicobar Islands,South Andaman,22,32,0,10,2020-04-26
Andaman and Nicobar Islands,South Andaman,22,32,0,10,2020-04-27
Andaman and Nicobar Islands,South Andaman,18,32,0,14,2020-04-28
Andaman and Nicobar Islands,South Andaman,18,32,0,14,2020-04-29
Andaman and Nicobar Islands,South Andaman,17,32,0,15,2020-04-30
Andaman and Nicobar Islands,South Andaman,17,32,0,15,2020-05-01
Andaman and Nicobar Islands,South Andaman,7,32,0,25,2020-05-02
Andaman and Nicobar Islands,South Andaman,1,32,0,31,2020-05-03
Andaman and Nicobar Islands,South Andaman,1,32,0,31,2020-05-04
Andaman and Nicobar Islands,South Andaman,1,32,0,31,2020-05-05
Andaman and Nicobar Islands,South Andaman,1,32,0,31,2020-05-06
Andaman and Nicobar Islands,South Andaman,0,32,0,32,2020-05-07
Andaman and Nicobar Islands,South Andaman,0,32,0,32,2020-05-08
Andaman and Nicobar Islands,South Andaman,0,32,0,32,2020-05-09
Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-21
Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-22
Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-23
Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-24
Andhra Pradesh,Anantapur,31,36,3,2,2020-04-21
Andhra Pradesh,Anantapur,31,36,3,2,2020-04-22
Andhra Pradesh,Anantapur,32,42,3,7,2020-04-23
Andhra Pradesh,Anantapur,31,46,4,11,2020-04-24
Andhra Pradesh,Anantapur,34,51,4,13,2020-04-25
Andhra Pradesh,Anantapur,35,53,4,14,2020-04-26
Andhra Pradesh,Anantapur,35,53,4,14,2020-04-27
Andhra Pradesh,Anantapur,36,54,4,14,2020-04-28
Andhra Pradesh,Anantapur,37,58,4,17,2020-04-29
Andhra Pradesh,Anantapur,37,61,4,20,2020-04-30
Andhra Pradesh,Anantapur,41,67,4,22,2020-05-01
Andhra Pradesh,Anantapur,43,71,4,24,2020-05-02
Andhra Pradesh,Anantapur,50,78,4,24,2020-05-03
Andhra Pradesh,Anantapur,50,78,4,24,2020-05-04
